股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002975.SZ,博杰股份,81.57,-1.7584005781043093,涨停,1,0, 10:00:30, 10:00:30,液冷服务器+AI服务器测试+人形机器人+业绩预增,,,,33,002975
300277.SZ,海联讯,21.2,0.5692599620493406,涨停,1,0, 10:44:22, 10:44:22,换股吸并+汽轮机+杭州国资+电力IT,,,,33,300277
300344.SZ,*ST立方,2.18,-6.837606837606825,跌停,0,1,,,, 14:51:51, 14:51:51,重大违法退市+监管出手+复牌补跌,33,300344
300846.SZ,首都在线,35.43,4.946682464454982,涨停,1,0, 13:23:23, 13:23:23,智算云服务+智谱一体机+昇腾合作,,,,33,300846
301317.SZ,鑫磊股份,48.59,-0.0617030028794612,涨停,1,0, 10:30:30, 10:30:30,磁悬浮热泵+数据中心+节能设备,,,,33,301317
600026.SH,中远海能,18.2,-2.829684997330492,涨停,1,0, 10:36:37, 14:50:36,油运周期+VLCC运价+央企,,,,17,600026
600243.SH,*ST海华,3.26,-2.4169184290030232,跌停,0,2,,,, 14:39:54, 14:39:54,退市风险+审计辞任+业绩预亏,22,600243
600355.SH,*ST精伦,1.24,-5.343511450381684,跌停,0,1,,,, 09:30:00, 09:32:15,退市风险+业绩预亏+连续跌停,22,600355
600397.SH,江钨装备,14.8,3.4241788958770103,涨停,2,0, 09:30:15, 09:30:15,定增收购钨钽资产+磁选设备+江西国资,,,,17,600397
600481.SH,双良节能,10.24,-3.921568627450996,涨停,1,0, 13:27:08, 13:27:08,SpaceX订单+液冷服务器+氢能装备,,,,17,600481
600490.SH,鹏欣资源,9.68,-1.825557809330626,涨停,1,0, 10:21:00, 10:21:00,黄金+铜+预增,,,,17,600490
600545.SH,卓郎智能,3.18,-2.4390243902438913,涨停,2,0, 14:38:47, 14:48:51,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,,,,17,600545
600589.SH,大位科技,15.25,10.028860028860034,涨停,4,0, 09:30:00, 09:30:00,算力租赁+东数西算+IDC,,,,17,600589
600599.SH,*ST熊猫,6.39,-5.052005943536415,跌停,0,1,,,, 09:44:00, 09:44:00,退市风险+监管立案+ST板块,22,600599
600673.SH,东阳光,36.1,-1.3121924548933759,涨停,1,0, 11:17:07, 11:17:07,液冷+秦淮数据+人形机器人+制冷剂,,,,17,600673
600722.SH,金牛化工,9.23,-1.1815252416756306,跌停,0,1,,,, 13:22:53, 14:46:59,前期涨幅较大+资金流出+获利回吐,17,600722
600821.SH,金开新能,6.54,0.46082949308756144,涨停,1,0, 09:30:15, 09:30:15,算力租赁+回购贷款+天津国资,,,,17,600821
600960.SH,渤海汽车,5.68,0.17636684303350594,涨停,1,0, 11:29:23, 11:29:23,活塞+人形机器人+重组审核+北京国资,,,,17,600960
601126.SH,四方股份,42.41,-1.542776998597484,涨停,1,0, 11:08:37, 11:08:37,数据中心+AI算力+电网设备+SST,,,,17,601126
601231.SH,环旭电子,41.72,-0.8555133079847895,涨停,1,0, 10:01:15, 10:01:15,CPO+AI眼镜+SiP模组,,,,17,601231
601619.SH,嘉泽新能,5.89,0.17064846416381887,涨停,1,0, 13:10:08, 13:10:08,绿氢醇项目+回购+风电运营,,,,17,601619
601872.SH,招商轮船,13.14,-0.6051437216338885,涨停,1,0, 09:38:45, 10:00:45,VLCC油运+业绩预增+央企,,,,17,601872
603088.SH,宁波精达,12.6,-2.4294670846395023,涨停,1,0, 09:47:00, 09:47:00,液冷+机器人+换热器+国企,,,,17,603088
603090.SH,宏盛股份,76.0,-1.3243313425084342,涨停,1,0, 13:00:23, 13:00:23,液冷服务器+氢能源+换热器+业绩预增,,,,17,603090
603103.SH,横店影视,30.12,-7.974335472043985,跌停,0,2,,,, 09:30:00, 09:31:30,板块回调+估值过高+业绩亏损,17,603103
603138.SH,海量数据,22.85,1.0167992926613634,涨停,2,0, 09:30:00, 10:19:30,国产数据库+向量数据库+信创,,,,17,603138
603191.SH,望变电气,24.0,-0.867410161090462,涨停,1,0, 10:20:15, 10:24:15,500kV变压器+数据中心+取向硅钢,,,,17,603191
603256.SH,宏和科技,73.0,-0.368500068240748,涨停,2,0, 09:38:15, 09:38:15,电子布涨价+PCB概念+业绩预增,,,,17,603256
603268.SH,*ST松发,95.81,0.5035141088849302,涨停,1,0, 10:28:45, 14:53:55,VLCC大单+船舶制造+业绩预增,,,,22,603268
603308.SH,应流股份,66.82,-0.6984693119334419,涨停,1,0, 10:52:52, 11:05:52,燃气轮机+商业航天+航空发动机,,,,17,603308
603389.SH,*ST亚振,44.52,3.4046468829077616,涨停,1,0, 10:21:45, 10:21:45,锆钛选矿+业绩预计减亏+世博家具,,,,22,603389
603533.SH,掌阅科技,36.79,7.982456140350867,涨停,4,0, 09:30:00, 09:30:00,AI短剧+字节概念+数字阅读,,,,17,603533
603688.SH,石英股份,47.63,0.2738571729513431,涨停,1,0, 10:11:15, 10:37:52,半导体材料+高纯石英砂+光伏复苏,,,,17,603688
603698.SH,航天工程,34.49,-4.488430443267353,跌停,0,1,,,, 09:31:15, 13:05:08,此前涨幅较大+板块承压+资金流出,17,603698
603729.SH,龙韵股份,20.17,-6.080449017773623,跌停,0,1,,,, 09:37:00, 09:37:00,影视板块回调+短期涨幅较大+资金流出+业绩预亏,17,603729
603757.SH,大元泵业,44.83,0.854893138357695,涨停,1,0, 09:30:00, 09:30:00,液冷服务器+维谛技术+屏蔽泵,,,,17,603757
603778.SH,国晟科技,13.69,-2.1567217828900125,跌停,0,1,,,, 14:56:58, 14:56:58,监管监控+业绩预亏+资金流出,17,603778
603813.SH,*ST原尚,30.86,-4.987684729064032,跌停,0,2,,,, 09:32:15, 09:32:15,退市风险+业绩预亏+延期回复问询,22,603813
603950.SH,长源东谷,40.78,2.7721774193548425,涨停,1,0, 09:33:15, 10:01:30,玉柴合作+柴油发动机+新能源汽车+业绩预增,,,,17,603950
603959.SH,百利科技,5.98,-5.7142857142857055,跌停,0,1,,,, 09:36:30, 10:00:45,拍卖中止+业绩预亏+诉讼新增+超涨回调,17,603959
605006.SH,山东玻纤,9.8,-3.4313725490196045,涨停,2,0, 09:41:15, 09:41:15,涨价+玻纤+山东国资,,,,17,605006
605018.SH,长华集团,12.59,0.0794912559618425,涨停,1,0, 13:39:53, 13:39:53,人形机器人+行星丝杠+飞行汽车,,,,17,605018
605033.SH,美邦股份,28.67,10.015349194167317,涨停,2,0, 09:30:00, 09:30:00,农药制剂+原药一体化+西部大开发,,,,17,605033
605287.SH,德才股份,67.23,-0.4602137767220936,涨停,4,0, 14:12:59, 15:00:00,AI漫剧+城市更新+扭亏为盈,,,,17,605287
605318.SH,法狮龙,77.68,3.421648249234466,涨停,1,0, 13:22:08, 13:22:08,装配式建筑+AI子公司+集成吊顶,,,,17,605318
688158.SH,优刻得,45.14,1.3984461709212044,涨停,1,0, 10:34:07, 11:24:22,涨价+云计算+AI算力+商业航天,,,,17,688158
688480.SH,赛恩斯,98.0,-2.005672609400328,涨停,1,0, 11:11:07, 11:11:07,重金属治理+铼回收+钼加工+紫金合作,,,,17,688480
