所属概念数量,market_code,code,所属概念,股票代码
27,33,000681,AI视频;快手概念;AI语料;智谱AI;知识产权保护;AIGC概念;多模态AI;抖音概念(字节概念);AI应用;文化传媒概念;数据确权;腾讯概念;NFT概念;阿里巴巴概念;百度概念;AI智能体;鸿蒙概念;数字水印;数据要素;区块链;DeepSeek概念;人工智能;虚拟现实;华为概念;小米概念;深股通;融资融券,000681.SZ
8,17,603991,5G;华为概念;芯片概念;核电;机器视觉;存储芯片;先进封装;股权转让(并购重组),603991.SH
3,17,605298,专精特新;高铁;沪股通,605298.SH
21,17,603773,MicroLED概念;MiniLED;先进封装;共封装光学(CPO);PET铜箔;OLED;存储芯片;柔性屏(折叠屏);光刻机;消费电子概念;智能穿戴;汽车电子;6G概念;芯片概念;钙钛矿电池;小米概念;商业航天;锂电池概念;卫星导航;华为概念;沪股通,603773.SH
7,17,603725,装配式建筑;新能源汽车;比亚迪概念;机器人概念;长安汽车概念;专精特新;创投,603725.SH
5,17,601699,煤炭概念;煤化工概念;国企改革;沪股通;融资融券,601699.SH
8,17,600367,小金属概念;钠离子电池;固态电池;西部大开发;国企改革;锂电池概念;沪股通;融资融券,600367.SH
20,17,603171,ChatGPT概念;AIGC概念;财税数字化;华为鲲鹏;云计算;智慧政务;鸿蒙概念;AI应用;信创;AI智能体;阿里巴巴概念;数据要素;蚂蚁集团概念;DeepSeek概念;数字经济;人工智能;中国AI 50;智慧城市;融资融券;沪股通,603171.SH
5,33,000037,核电;储能;固废处理;粤港澳大湾区;2025年报预增,000037.SZ
10,33,002608,超超临界发电;碳交易;虚拟电厂;信托概念;国企改革;参股保险;储能;工业互联网;深股通;融资融券,002608.SZ
31,17,603296,英伟达概念;华为手机;智能音箱;液冷服务器;AI PC;消费电子概念;中国AI 50;芯片概念;汽车电子;AI眼镜;无线耳机;数据中心(AIDC);智能穿戴;毫米波雷达;星闪概念;智能座舱;小米概念;无人驾驶;东数西算(算力);华为概念;虚拟现实;机器人概念;智能家居;人形机器人;抖音概念(字节概念);上海自贸区;阿里巴巴概念;腾讯概念;医疗器械概念;沪股通;融资融券,603296.SH
17,33,002235,Web3.0;知识产权保护;数据确权;文化传媒概念;网络安全;NFT概念;数据要素;独角兽概念;区块链;体育产业;物业管理;蚂蚁集团概念;海峡两岸;福建自贸区;比亚迪概念;股权转让(并购重组);融资融券,002235.SZ
8,17,600301,金属铅;金属锌;金属铜;小金属概念;DeepSeek概念;西部大开发;国企改革;沪股通,600301.SH
4,33,003030,共同富裕示范区;人造肉;网红经济;宠物经济,003030.SZ
4,17,603877,共同富裕示范区;回购增持再贷款概念;沪股通;融资融券,603877.SH
19,17,603045,5G;汽车电子;智能电网;数据中心(AIDC);BC电池;比亚迪概念;HJT电池;TOPCON电池;充电桩;新能源汽车;储能;工业互联网;智能家居;2025年报预增;高铁;金属回收;黄金概念;股权转让(并购重组);融资融券,603045.SH
