股票代码,code,market_code,所属概念,所属概念数量
600584.SH,600584,17,国家大基金持股;存储芯片;先进封装;汽车芯片;第三代半导体;共封装光学(CPO);汽车电子;芯片概念;毫米波雷达;中芯国际概念;智能穿戴;苹果概念;同花顺果指数;无人驾驶;物联网;机器人概念;人民币贬值受益;人工智能;央企国企改革;国企改革;绿色电力;沪股通;融资融券;股权转让(并购重组),24
603757.SH,603757,17,液冷服务器;数据中心;商业航天;空气能热泵;新能源汽车;专精特新;储能;核电;高端装备;海工装备;燃料电池;氢能源;水利;沪股通,14
001221.SZ,001221,33,注册制次新股;跨境电商;粤港澳大湾区;深股通;新股与次新股;融资融券,6
601858.SH,601858,17,知识产权保护;文化传媒概念;国资云;在线教育;中字头股票;数据要素;DeepSeek概念;数字经济;国企改革;智能医疗;芯片概念;同花顺中特估100;沪股通;融资融券,14
000811.SZ,000811,33,超导概念;液冷服务器;中芯国际概念;可控核聚变;数据中心;3D打印;核电;海工装备;军工;储能;新能源汽车;海峡两岸;燃料电池;雅下水电概念;机器人概念;氢能源;空气能热泵;固态电池;水利;碳中和;回购增持再贷款概念;人工智能;创投;中俄贸易概念;智能物流;国企改革;体育产业;冷链物流;融资融券;宠物经济;天然气;冰雪产业;深股通,33
605090.SH,605090,17,俄乌冲突概念;天然气;页岩气;煤化工概念;航运概念;新疆振兴;氢能源;绿色电力;回购增持再贷款概念;创投;智能物流;商业航天;粤港澳大湾区;DeepSeek概念;数字经济;低空经济;芯片概念;融资融券;沪股通,19
603773.SH,603773,17,MicroLED概念;共封装光学(CPO);MiniLED;光刻机;柔性屏(折叠屏);先进封装;PET铜箔;OLED;6G概念;消费电子概念;智能穿戴;存储芯片;汽车电子;钙钛矿电池;芯片概念;商业航天;小米概念;卫星导航;华为概念;锂电池概念;沪股通,21
603275.SH,603275,17,减速器;新型工业化;新能源汽车;机器人概念;工业互联网;物联网;专精特新;风电;沪股通;融资融券,10
603459.SH,603459,17,注册制次新股;共封装光学(CPO);MiniLED;华为手机;PCB概念;智能座舱;汽车电子;存储芯片;富士康概念;卫星导航;东数西算(算力);智能穿戴;消费电子概念;无人驾驶;虚拟现实;比亚迪概念;小米概念;华为概念;机器人概念;芯片概念;商业航天;锂电池概念;一带一路;新股与次新股;融资融券,25
002975.SZ,002975,33,先进封装;存储芯片;PCB概念;富士康概念;液冷服务器;英伟达概念;苹果概念;5G;汽车电子;芯片概念;毫米波雷达;消费电子概念;AI眼镜;智能座舱;无线耳机;新型烟草(电子烟);小米概念;MR(混合现实);工业母机;无人驾驶;比亚迪概念;机器视觉;人形机器人;华为概念;特斯拉概念;新能源汽车;虚拟现实;新型工业化;2025年报预增;阿里巴巴概念;腾讯概念;机器人概念;减速器;粤港澳大湾区;高端装备;人工智能;横琴新区;一带一路;深股通,39
600259.SH,600259,17,稀土永磁;金属铜;小金属概念;2026一季报预增;海南自贸区;央企国企改革;粤港澳大湾区;国企改革;融资融券;中字头股票;沪股通,11
000029.SZ,000029,33,物业管理;粤港澳大湾区;深圳国企改革;国企改革;深股通;融资融券,6
002008.SZ,002008,33,光纤概念;光刻机;PCB概念;富士康概念;苹果概念;先进封装;第三代半导体;MR(混合现实);OLED;MicroLED概念;工业母机;存储芯片;MiniLED;芯片概念;3D打印;AI眼镜;消费电子概念;商业航天;机器视觉;小米概念;华为概念;新能源汽车;钙钛矿电池;特斯拉概念;比亚迪概念;光伏概念;高端装备;减速器;新型工业化;机器人概念;储能;宁德时代概念;HJT电池;粤港澳大湾区;物联网;TOPCON电池;固态电池;锂电池概念;深股通;融资融券,40
003031.SZ,003031,33,共封装光学(CPO);光刻机;第三代半导体;6G概念;华为海思概念股;5G;芯片概念;消费电子概念;汽车电子;商业航天;卫星导航;专精特新;比亚迪概念;新能源汽车;军工;华为概念;充电桩;央企国企改革;国企改革;中字头股票;融资融券;深股通,22
001331.SZ,001331,33,天然气;股权转让(并购重组),2
603150.SH,603150,17,汽车电子;PCB概念;毫米波雷达;无人驾驶;传感器;稀土永磁;比亚迪概念;新能源汽车;军工;家用电器;创投;一带一路;冷链物流;可降解塑料,14
