股票代码,所属概念数量,所属概念,code,market_code
300369.SZ,29,数字水印;MLOps概念;华为欧拉;数据确权;AI语料;数据安全;华为鲲鹏;云计算;智慧政务;国产操作系统;网络安全;信创;区块链;AI智能体;腾讯概念;阿里巴巴概念;数据要素;车联网(车路协同);DeepSeek概念;人工智能;东数西算(算力);华为概念;独角兽概念;AI应用;工业互联网;数据中心;京津冀一体化;深股通;融资融券,300369,33
300798.SZ,4,染料;算力租赁;东数西算(算力);AI智能体,300798,33
688032.SH,7,光伏概念;储能;回购增持再贷款概念;专精特新;人民币贬值受益;沪股通;融资融券,688032,17
300419.SZ,23,智慧政务;网络安全;云计算;抖音概念(字节概念);数据安全;百度概念;人工智能;数据要素;信创;互联网金融;物联网;ST板块;华为欧拉;DeepSeek概念;东数西算(算力);AI智能体;华为概念;量子科技;快手概念;数据中心;军工;AI应用;股权转让(并购重组),300419,33
301075.SZ,6,西部大开发;三胎概念;流感;仿制药一致性评价;创新药;融资融券,301075,33
301308.SZ,24,存储芯片;国家大基金持股;AI手机;AI PC;先进封装;EDR概念;芯片概念;2025年报预增;AI眼镜;消费电子概念;智能穿戴;智能座舱;小米概念;专精特新;数据中心;小米汽车;机器人概念;华为概念;信创;数据安全;人民币贬值受益;华为鲲鹏;深股通;融资融券,301308,33
603226.SH,3,智能家居;沪股通;股权转让(并购重组),603226,17
300191.SZ,7,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,300191,33
002053.SZ,12,天然气;超超临界发电;绿色电力;西部大开发;页岩气;国企改革;风电;储能;证金持股;钠离子电池;深股通;融资融券,002053,33
688390.SH,8,光伏建筑一体化;光伏概念;回购增持再贷款概念;虚拟电厂;储能;智能电网;沪股通;融资融券,688390,17
605286.SH,8,新型城镇化;虚拟电厂;储能;人工智能;氢能源;绿色电力;风电;沪股通,605286,17
300077.SZ,35,MCU芯片;汽车芯片;无线耳机;EDR概念;芯片概念;消费电子概念;汽车电子;人脸识别;车联网(车路协同);网络安全;数据安全;移动支付;物联网;华为概念;数字货币;人形机器人;量子科技;无人机;智能家居;区块链;机器人概念;3D打印;工业互联网;新能源汽车;粤港澳大湾区;知识产权保护;光伏概念;宁德时代概念;充电桩;锂电池概念;储能;医疗器械概念;石墨电极;深股通;融资融券,300077,33
301042.SZ,11,智慧城市;人脸识别;跨境电商;安防;机器人概念;DeepSeek概念;机器视觉;智能家居;人工智能;人民币贬值受益;融资融券,301042,33
600589.SH,7,算力租赁;云计算;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通,600589,17
920493.BJ,22,2025年报预增;商业航天;数据中心;量子科技;算力租赁;百度概念;阿里巴巴概念;长安汽车概念;比亚迪概念;飞行汽车(eVTOL);融资融券;DeepSeek概念;云计算;华为概念;华为昇腾;智谱AI;华为鲲鹏;东数西算(算力);在线教育;AIGC概念;数字经济;低空经济,920493,151
605117.SH,9,光伏概念;一带一路;储能;同花顺出海50;人民币贬值受益;共同富裕示范区;家用电器;融资融券;沪股通,605117,17
605259.SH,5,人民币贬值受益;新能源汽车;储能;水利;鸿蒙概念,605259,17
301292.SZ,8,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,301292,33
002151.SZ,31,军工信息化;国产航母;卫星导航;商业航天;军民融合;同花顺新质50;军工;无人机;低空经济;车联网(车路协同);星闪概念;无人驾驶;智能座舱;5G;芯片概念;高端装备;华为概念;物联网;汽车芯片;智能穿戴;英伟达概念;汽车电子;机器人概念;消费电子概念;京津冀一体化;国家大基金持股;长安汽车概念;农机;两轮车;深股通;融资融券,002151,33
002812.SZ,15,固态电池;宁德时代概念;锂电池概念;比亚迪概念;新能源汽车;储能;烟草;充电桩;消费电子概念;专精特新;同花顺漂亮100;西部大开发;深股通;人工智能;融资融券,002812,33
600938.SH,11,页岩气;天然气;同花顺中特估100;同花顺出海50;央企国企改革;国企改革;海工装备;风电;沪股通;中字头股票;融资融券,600938,17
688330.SH,6,电力物联网;量子科技;智能电网;2025年报预增;专精特新;融资融券,688330,17
600989.SH,11,煤化工概念;煤炭概念;POE胶膜;氢能源;碳中和;西部大开发;2025年报预增;跨境电商;DeepSeek概念;融资融券;沪股通,600989,17
000911.SZ,5,土地流转;冷链物流;国企改革;西部大开发;智能物流,000911,33
688047.SH,13,国产操作系统;信创;鸿蒙概念;商业航天;百度概念;东数西算(算力);MCU芯片;汽车芯片;DeepSeek概念;芯片概念;机器人概念;沪股通;融资融券,688047,17
688319.SH,8,幽门螺杆菌概念;生物疫苗;创新药;流感;西部大开发;专精特新;沪股通;融资融券,688319,17
603220.SH,28,算力租赁;东数西算(算力);数据中心;华为昇腾;智慧政务;6G概念;5G;智慧城市;华为概念;AI智能体;F5G概念;车联网(车路协同);DeepSeek概念;人工智能;卫星导航;低空经济;共享单车;共封装光学(CPO);光纤概念;充电桩;储能;新能源汽车;光伏概念;一带一路;AI应用;锂电池概念;沪股通;融资融券,603220,17
001337.SZ,6,黄金概念;2025年报预增;西部大开发;国企改革;融资融券;深股通,001337,33
301205.SZ,7,共封装光学(CPO);数据中心;芯片概念;5G;人民币贬值受益;深股通;融资融券,301205,33
300779.SZ,4,固废处理;稀土永磁;融资融券;深股通,300779,33
002986.SZ,4,可降解塑料;回购增持再贷款概念;粤港澳大湾区;深股通,002986,33
603856.SH,9,地下管网;新型城镇化;新疆振兴;乡村振兴;水利;一带一路;氢能源;抽水蓄能;军工,603856,17
