code,股票代码,所属概念,所属概念数量,market_code
603195,603195.SH,超级品牌;同花顺漂亮100;露营经济;高股息精选;家用电器;抖音概念(字节概念);腾讯概念;智能家居;回购增持再贷款概念;充电桩;储能;华为概念;无线充电;沪股通;融资融券,15,17
002943,002943.SZ,HJT电池;TOPCON电池;光伏概念;第三代半导体;稀土永磁;比亚迪概念;工业母机;芯片概念;AI眼镜;智能穿戴;深股通;融资融券,12,33
301198,301198.SZ,比亚迪概念;华为概念;智能物流;跨境电商;特斯拉概念;融资融券,6,33
688115,688115.SH,WiFi 6;虚拟现实;芯片概念;苹果概念;机器视觉;新型工业化;华为概念;军工;数字孪生;工业互联网;股权转让(并购重组);融资融券,12,17
688173,688173.SH,汽车芯片;芯片概念;AI眼镜;AI手机;智能穿戴;消费电子概念;智能座舱;汽车电子;小米概念;传感器;无线充电;华为概念;专精特新;智能家居;东数西算(算力);机器人概念;粤港澳大湾区;人民币贬值受益;锂电池概念;股权转让(并购重组);沪股通;融资融券,22,17
301362,301362.SZ,PCB概念;C2M概念;专精特新;一带一路;生态农业;人民币贬值受益;高股息精选;融资融券,8,33
688127,688127.SH,光刻机;共封装光学(CPO);同花顺果指数;苹果概念;芯片概念;消费电子概念;5G;智能穿戴;华为概念;2025年报预增;人民币贬值受益;一带一路;沪股通;融资融券,14,17
002025,002025.SZ,铜缆高速连接;共封装光学(CPO);光纤概念;卫星导航;5G;液冷服务器;商业航天;数据中心;大飞机;军工;同花顺新质50;小米概念;华为概念;机器视觉;比亚迪概念;低空经济;新能源汽车;核电;智能物流;央企国企改革;西部大开发;国企改革;深股通;融资融券,24,33
000880,000880.SZ,中国AI 50;数据中心;海工装备;国企改革;融资融券;深股通,6,33
301092,301092.SZ,盐湖提锂;净水概念;稀土永磁;专精特新;核污染防治;污水处理;减肥药;核电;超超临界发电;融资融券,10,33
002135,002135.SZ,装配式建筑;新型城镇化;PPP概念;雄安新区;体育产业;养老概念;一带一路;光伏建筑一体化;乡村振兴;储能;绿色电力;光伏概念;可控核聚变;低空经济;深股通;融资融券,16,33
688387,688387.SH,卫星导航;6G概念;商业航天;低空经济;网络安全;东数西算(算力);5G;车联网(车路协同);芯片概念;AI应用;机器视觉;人工智能;物联网;DeepSeek概念;专精特新;工业互联网;央企国企改革;国企改革;沪股通;融资融券,20,17
300835,300835.SZ,消费电子概念;数据中心;稀土永磁;专精特新;新能源汽车;光伏概念;深股通,7,33
688302,688302.SH,创新药;西部大开发;沪股通;融资融券,4,17
300751,300751.SZ,钙钛矿电池;HJT电池;光伏概念;MicroLED概念;第三代半导体;OLED;MiniLED;新型工业化;高端装备;先进封装;芯片概念;锂电池概念;存储芯片;回购增持再贷款概念;融资融券;深股通,16,33
301322,301322.SZ,芯片概念;新能源汽车;中芯国际概念;人民币贬值受益;动力电池回收;融资融券,6,33
688757,688757.SH,存储芯片;先进封装;芯片概念;光刻胶;新能源汽车;沪股通;融资融券,7,17
920181,920181.BJ,芯片概念;专精特新;新股与次新股;融资融券,4,151
688090,688090.SH,机器视觉;新型工业化;传感器;专精特新;芯片概念;比亚迪概念;新能源汽车;机器人概念;AI应用;数字孪生;人工智能;融资融券,12,17
688508,688508.SH,国家大基金持股;汽车芯片;中芯国际概念;第三代半导体;芯片概念;数据中心;2025年报预增;专精特新;人形机器人;高压快充;无人机;机器人概念;充电桩;DeepSeek概念;人工智能;智能电网;沪股通;融资融券,18,17
688253,688253.SH,重组蛋白;辅助生殖;阿尔茨海默概念;幽门螺杆菌概念;猴痘概念;流感;医药电商;肝炎概念;智能医疗;沪股通;融资融券,11,17
603657,603657.SH,家用电器;机器人概念;专精特新;小米概念,4,17
300558,300558.SZ,重组蛋白;细胞免疫治疗;创新药;眼科医疗;基因测序;智能医疗;深股通;融资融券,8,33
301049,301049.SZ,医疗废物处理;固废处理;汽车拆解概念;动力电池回收;锂电池概念;储能;金属回收;融资融券,8,33
