股票代码,所属概念数量,code,所属概念,market_code
301197.SZ,13,301197,专精特新;华为概念;新型城镇化;智慧城市;建筑节能;人工智能;回购增持再贷款概念;雄安新区;信创;华为鲲鹏;数据要素;蚂蚁集团概念;融资融券,33
301611.SZ,11,301611,存储芯片;光刻机;OLED;第三代半导体;芯片概念;专精特新;燃料电池;锂电池概念;医疗器械概念;深股通;融资融券,33
301509.SZ,9,301509,CRO概念;减肥药;阿尔茨海默概念;人民币贬值受益;专精特新;2025年报预增;氟化工概念;氢能源;融资融券,33
605303.SH,8,605303,存储芯片;芯片概念;新型城镇化;PPP概念;共同富裕示范区;旅游概念;雄安新区;乡村振兴,17
603608.SH,8,603608,C2M概念;抖音概念(字节概念);AIGC概念;粤港澳大湾区;网红经济;跨境电商;股权转让(并购重组);摘帽,17
688433.SH,10,688433,3D打印;商业航天;低空经济;高端装备;飞行汽车(eVTOL);专精特新;机器人概念;碳纤维;沪股通;融资融券,17
603890.SH,18,603890,富士康概念;AI PC;汽车电子;消费电子概念;AI眼镜;5G;比亚迪概念;人形机器人;小米汽车;F5G概念;特斯拉概念;新能源汽车;华为汽车;机器人概念;华为概念;人民币贬值受益;沪股通;融资融券,17
920181.BJ,3,920181,专精特新;新股与次新股;融资融券,151
300768.SZ,26,300768,数据安全;鸿蒙概念;信创;华为鲲鹏;国产操作系统;财税数字化;智慧政务;网络安全;数字水印;云计算;腾讯概念;AI智能体;ETC;DeepSeek概念;人工智能;物联网;安防;东数西算(算力);华为概念;工业互联网;新型工业化;数据中心;5G;智能电网;深股通;融资融券,33
300656.SZ,15,300656,汽车芯片;电子身份证;芯片概念;第三代半导体;华为概念;机器视觉;传感器;人工智能;无人机;海峡两岸;比亚迪概念;粤港澳大湾区;光伏概念;储能;特高压,33
688202.SH,10,688202,CRO概念;减肥药;创新药;智能医疗;合成生物;人工智能;AI应用;回购增持再贷款概念;沪股通;融资融券,17
002759.SZ,10,002759,钠离子电池;固态电池;氟化工概念;磷化工;锂电池概念;宁德时代概念;比亚迪概念;家用电器;深股通;融资融券,33
688800.SH,27,688800,铜缆高速连接;液冷服务器;5G;毫米波雷达;6G概念;数据中心;高压快充;专精特新;比亚迪概念;新能源汽车;特斯拉概念;人形机器人;充电桩;2025年报预增;光伏概念;机器人概念;储能;军工;商业航天;换电概念;卫星导航;飞行汽车(eVTOL);低空经济;军民融合;医疗器械概念;沪股通;融资融券,17
688818.SH,18,688818,卫星导航;商业航天;科创次新股;无人机;军工;智能电网;机器人概念;注册制次新股;光伏概念;储能;锂电池概念;燃料电池;固态电池;央企国企改革;钠离子电池;国企改革;新股与次新股;融资融券,17
002240.SZ,10,002240,盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;回购增持再贷款概念;西部大开发;比亚迪概念;深股通;融资融券,33
301377.SZ,9,301377,PCB概念;2025年报预增;工业母机;机器视觉;粤港澳大湾区;机器人概念;高端装备;深股通;融资融券,33
688652.SH,9,688652,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,17
301282.SZ,31,301282,富士康概念;PCB概念;共封装光学(CPO);5G;汽车电子;消费电子概念;卫星导航;智能座舱;商业航天;无人机;数据中心;军工;无人驾驶;比亚迪概念;低空经济;华为概念;东数西算(算力);新能源汽车;物联网;机器人概念;海峡两岸;车联网(车路协同);华为汽车;智能家居;高铁;充电桩;宁德时代概念;储能;创投;固态电池;融资融券,33
688319.SH,8,688319,幽门螺杆菌概念;生物疫苗;流感;创新药;专精特新;西部大开发;沪股通;融资融券,17
300136.SZ,33,300136,商业航天;卫星导航;6G概念;WiFi 6;无人机;低空经济;毫米波雷达;芯片概念;车联网(车路协同);5G;柔性屏(折叠屏);虚拟现实;华为概念;同花顺果指数;物联网;智能穿戴;AI眼镜;智能音箱;无线充电;富士康概念;消费电子概念;机器人概念;汽车电子;苹果概念;海峡两岸;无线耳机;特斯拉概念;粤港澳大湾区;一带一路;人民币贬值受益;回购增持再贷款概念;深股通;融资融券,33
603005.SH,16,603005,先进封装;第三代半导体;汽车芯片;光刻机;芯片概念;汽车电子;消费电子概念;光刻胶;传感器;新能源汽车;虚拟现实;华为概念;人民币贬值受益;长三角一体化;沪股通;融资融券,17
002134.SZ,8,002134,PCB概念;新能源汽车;专精特新;军工;大飞机;天津自贸区;京津冀一体化;深股通,33
300585.SZ,13,300585,减速器;小米汽车;长安汽车概念;比亚迪概念;传感器;专精特新;军工;机器人概念;汽车电子;小米概念;新能源汽车;钙钛矿电池;锂电池概念,33
300632.SZ,35,300632,MiniLED;脑机接口;柔性屏(折叠屏);先进封装;第三代半导体;AI眼镜;富士康概念;OLED;PET铜箔;汽车电子;智能穿戴;消费电子概念;5G;PCB概念;芯片概念;无线耳机;传感器;无人驾驶;无人机;人形机器人;比亚迪概念;医美概念;机器人概念;福建自贸区;鸿蒙概念;海峡两岸;充电桩;家用电器;固态电池;人民币贬值受益;储能;锂电池概念;养老概念;一带一路;消毒剂,33
688353.SH,11,688353,钠离子电池;固态电池;氟化工概念;锂电池概念;宁德时代概念;有机硅概念;比亚迪概念;专精特新;储能;沪股通;融资融券,17
002407.SZ,22,002407,钠离子电池;氟化工概念;固态电池;动力电池回收;PVDF概念;锂电池概念;硅能源;特斯拉概念;储能;比亚迪概念;新能源汽车;回购增持再贷款概念;工业互联网;中芯国际概念;创投;第三代半导体;芯片概念;独角兽概念;数字孪生;融资融券;深股通;存储芯片,33
688106.SH,21,688106,俄乌冲突概念;天然气;氢能源;固态电池;碳中和;中芯国际概念;光伏概念;锂电池概念;可控核聚变;存储芯片;第三代半导体;回购增持再贷款概念;冷链物流;燃料电池;核电;商业航天;长三角一体化;芯片概念;专精特新;沪股通;融资融券,17
301308.SZ,24,301308,存储芯片;国家大基金持股;AI PC;AI手机;先进封装;EDR概念;芯片概念;AI眼镜;消费电子概念;智能穿戴;智能座舱;小米概念;2025年报预增;数据中心;专精特新;信创;数据安全;华为概念;机器人概念;华为鲲鹏;小米汽车;人民币贬值受益;深股通;融资融券,33
688205.SH,9,688205,F5G概念;共封装光学(CPO);5G;芯片概念;数据中心;东数西算(算力);专精特新;沪股通;融资融券,17
300868.SZ,6,300868,华为概念;消费电子概念;智能穿戴;AI眼镜;跨境电商;融资融券,33
688531.SH,18,688531,PCB概念;液冷服务器;芯片概念;专精特新;比亚迪概念;特斯拉概念;宁德时代概念;高端装备;储能;一体化压铸;锂电池概念;人工智能;固态电池;商业航天;食品安全;回购增持再贷款概念;沪股通;融资融券,17
603063.SH,10,603063,储能;智能电网;光伏概念;抽水蓄能;风电;氢能源;粤港澳大湾区;海工装备;沪股通;融资融券,17
600959.SH,31,600959,短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;元宇宙;国资云;云办公;足球概念;数据要素;数字乡村;数据安全;DeepSeek概念;算力租赁;网络安全;人工智能;养老概念;智慧城市;东数西算(算力);数字孪生;食品安全;乡村振兴;工业互联网;低空经济;机器视觉;国企改革;数据中心;5G;光伏概念;储能;沪股通;融资融券,17
