market_code,股票代码,code,所属概念,所属概念数量
33,300212.SZ,300212,国资云;财税数字化;数据确权;华为鲲鹏;数据安全;智慧政务;网络安全;数据要素;AI智能体;信创;数字孪生;华为数字能源;阿里巴巴概念;智慧城市;百度概念;独角兽概念;DeepSeek概念;东数西算(算力);物联网;数字经济;智能医疗;人工智能;车联网(车路协同);养老概念;华为概念;雄安新区;数据中心(AIDC);创投;PPP概念;京津冀一体化;乡村振兴;国企改革;ST板块;央企国企改革;一带一路;无人驾驶,36
33,300037.SZ,300037,钠离子电池;固态电池;氟化工概念;2026一季报预增;宁德时代概念;锂电池概念;超级电容;OLED;先进封装;芯片概念;比亚迪概念;特斯拉概念;液冷服务器;新能源汽车;数据中心(AIDC);深股通;融资融券,17
151,920062.BJ,920062,数据中心(AIDC);参股银行;军工;储能;光伏概念;专精特新;智能电网;融资融券,8
17,688390.SH,688390,虚拟电厂;智能电网;储能;光伏概念;光伏建筑一体化;回购增持再贷款概念;沪股通;融资融券,8
33,300814.SZ,300814,共封装光学(CPO);铜缆高速连接;PCB概念;先进封装;5G;MiniLED;华为数字能源;数据中心(AIDC);毫米波雷达;汽车电子;华为概念;新能源汽车;一带一路;华为汽车;深股通;融资融券,16
33,301581.SZ,301581,专精特新;新能源汽车;光伏概念;芯片概念;供销社;融资融券,6
17,688783.SH,688783,国家大基金持股;存储芯片;科创次新股;MCU芯片;芯片概念;注册制次新股;西部大开发;新股与次新股;融资融券,9
17,605358.SH,605358,汽车芯片;存储芯片;第三代半导体;中芯国际概念;芯片概念;5G;卫星导航;共封装光学(CPO);商业航天;汽车电子;专精特新;人形机器人;比亚迪概念;无人驾驶;光伏概念;机器人概念;充电桩;硅能源;融资融券;沪股通,20
33,002273.SZ,002273,共封装光学(CPO);同花顺果指数;苹果概念;华为手机;AI眼镜;消费电子概念;汽车电子;智能穿戴;AI手机;小米概念;比亚迪概念;智能座舱;储能;华为概念;虚拟现实;机器人概念;人形机器人;安防;人民币贬值受益;华为汽车;长安汽车概念;元宇宙;深股通;融资融券,24
33,300223.SZ,300223,存储芯片;汽车芯片;MCU芯片;芯片概念;OLED;消费电子概念;AI眼镜;MiniLED;汽车电子;毫米波雷达;传感器;小米概念;智能音箱;3D打印;智能座舱;机器视觉;物联网;安防;无人驾驶;抖音概念(字节概念);人脸识别;机器人概念;人民币贬值受益;智能家居;人工智能;家用电器;鸿蒙概念;区块链;京津冀一体化;深股通;融资融券,31
17,688519.SH,688519,PCB概念;MiniLED;共封装光学(CPO);存储芯片;5G;华为概念;专精特新;新能源汽车;2025年报预增;沪股通;融资融券,11
33,300259.SZ,300259,智能电网;传感器;数字孪生;物联网;虚拟现实;光伏概念;华为概念;专精特新;数据要素;水利;雄安新区,11
17,688091.SH,688091,创新药;2025年报预增;沪股通;融资融券,4
17,600673.SH,600673,算力租赁;东数西算(算力);数据中心(AIDC);液冷服务器;超级电容;芯片概念;华为概念;AI应用;储能;人形机器人;锂电池概念;PVDF概念;回购增持再贷款概念;氟化工概念;沪股通;融资融券;消毒剂;煤炭概念,18
33,301021.SZ,301021,MicroLED概念;先进封装;PCB概念;第三代半导体;培育钻石;消费电子概念;芯片概念;3D打印;光伏概念;钙钛矿电池;高端装备;TOPCON电池;2025年报预增;BC电池;医疗器械概念;CRO概念;深股通;融资融券,18
17,603045.SH,603045,5G;汽车电子;数据中心(AIDC);智能电网;BC电池;比亚迪概念;TOPCON电池;充电桩;新能源汽车;HJT电池;工业互联网;智能家居;储能;高铁;2025年报预增;金属回收;黄金概念;股权转让(并购重组);融资融券,19
