股票代码,所属概念数量,code,market_code,所属概念
603296.SH,31,603296,17,液冷服务器;华为手机;英伟达概念;智能音箱;AI眼镜;AI PC;数据中心;汽车电子;无线耳机;消费电子概念;智能穿戴;中国AI 50;小米概念;智能座舱;星闪概念;芯片概念;东数西算(算力);华为概念;毫米波雷达;人形机器人;智能家居;虚拟现实;机器人概念;无人驾驶;阿里巴巴概念;上海自贸区;抖音概念(字节概念);腾讯概念;医疗器械概念;沪股通;融资融券
002639.SZ,30,002639,33,商业航天;可控核聚变;海工装备;核电;天然气;福建自贸区;水利;阿里巴巴概念;数字经济;氢能源;海峡两岸;高端装备;腾讯概念;抽水蓄能;一带一路;华为概念;雅下水电概念;碳中和;东数西算(算力);冷链物流;物联网;工业互联网;冰雪产业;燃料电池;体育产业;数据中心;空气能热泵;液冷服务器;深股通;融资融券
603949.SH,6,603949,17,汽车热管理;专精特新;新能源汽车;农机;创投;军工
605162.SH,5,605162,17,虚拟电厂;碳交易;绿色电力;碳中和;储能
000815.SZ,11,000815,33,算力租赁;国资云;东数西算(算力);云计算;数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券
000534.SZ,8,000534,33,航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券
603121.SH,16,603121,17,军工;汽车芯片;氢能源;长三角一体化;传感器;人形机器人;燃料电池;创投;小米汽车;机器人概念;芯片概念;新能源汽车;比亚迪概念;DeepSeek概念;数据中心;沪股通
002558.SZ,26,002558,33,电子竞技;网络游戏;手机游戏;语音技术;虚拟现实;人工智能;云游戏;AIGC概念;鸿蒙概念;元宇宙;虚拟数字人;阿里巴巴概念;ChatGPT概念;创投;华为概念;腾讯概念;旅游概念;百度概念;AI智能体;DeepSeek概念;互联网金融;参股保险;西部大开发;AI应用;深股通;融资融券
600105.SH,29,600105,17,共封装光学(CPO);光纤概念;商业航天;5G;可控核聚变;军工;芯片概念;3D打印;超导概念;东数西算(算力);数据中心;低空经济;海工装备;华为概念;网络安全;核电;数据安全;比亚迪概念;工业互联网;专精特新;新能源汽车;2025年报预增;华为汽车;风电;长三角一体化;一带一路;参股银行;沪股通;融资融券
603248.SH,6,603248,17,注册制次新股;风电;专精特新;高端装备;新股与次新股;融资融券
601579.SH,4,601579,17,白酒概念;共同富裕示范区;沪股通;融资融券
603193.SH,5,603193,17,三胎概念;跨境电商;C2M概念;沪股通;融资融券
601133.SH,8,601133,17,中芯国际概念;存储芯片;OLED;芯片概念;柔性屏(折叠屏);装配式建筑;沪股通;融资融券
603803.SH,20,603803,17,F5G概念;共封装光学(CPO);WiFi 6;6G概念;5G;量子科技;数据中心;东数西算(算力);智能电网;芯片概念;网络安全;新型工业化;物联网;无人驾驶;工业互联网;数据安全;智慧城市;新型城镇化;车联网(车路协同);融资融券
002408.SZ,7,002408,33,环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券
600851.SH,11,600851,17,维生素;细胞免疫治疗;仿制药一致性评价;互联网金融;物业管理;创新药;生物疫苗;参股券商;证金持股;融资融券;沪股通
002082.SZ,11,002082,33,阿尔茨海默概念;仿制药一致性评价;创新药;肝炎概念;共同富裕示范区;流感;医疗器械概念;生物疫苗;医药电商;一带一路;深股通
600488.SH,6,600488,17,仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通
601515.SH,15,601515,17,烟草;新型烟草(电子烟);PVDF概念;创投;比亚迪概念;PET铜箔;宁德时代概念;固态电池;钠离子电池;锂电池概念;国企改革;医疗器械概念;沪股通;融资融券;股权转让(并购重组)
600545.SH,10,600545,17,华为概念;新型工业化;机器人概念;AI智能体;DeepSeek概念;人民币贬值受益;一带一路;西部大开发;新疆振兴;融资融券
000078.SZ,10,000078,33,流感;医药电商;创新药;维生素;仿制药一致性评价;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券
688480.SH,5,688480,17,小金属概念;土壤修复;污水处理;净水概念;融资融券
688205.SH,9,688205,17,F5G概念;共封装光学(CPO);5G;芯片概念;数据中心;专精特新;东数西算(算力);沪股通;融资融券
301191.SZ,18,301191,33,F5G概念;6G概念;WiFi 6;5G;数据中心;网络安全;芯片概念;华为概念;信创;汽车电子;安防;小米概念;车联网(车路协同);智能座舱;粤港澳大湾区;创投;深股通;融资融券
600746.SH,4,600746,17,煤化工概念;固废处理;国企改革;沪股通
301326.SZ,14,301326,33,富士康概念;液冷服务器;苹果概念;芯片概念;消费电子概念;比亚迪概念;3D打印;无人机;宁德时代概念;人民币贬值受益;锂电池概念;固态电池;深股通;融资融券
688308.SH,10,688308,17,PCB概念;工业母机;2025年报预增;专精特新;光伏概念;航空发动机;人形机器人;机器人概念;商业航天;融资融券
300936.SZ,11,300936,33,PCB概念;毫米波雷达;卫星导航;芯片概念;5G;消费电子概念;专精特新;无人驾驶;华为概念;储能;融资融券
688376.SH,6,688376,17,中芯国际概念;光刻机;芯片概念;PM2.5;沪股通;融资融券
301373.SZ,3,301373,33,光伏概念;专精特新;融资融券
301055.SZ,11,301055,33,跨境电商;AI智能体;IP经济(谷子经济);DeepSeek概念;露营经济;NFT概念;家用电器;物联网;2025年报预增;超级品牌;融资融券
688312.SH,11,688312,17,PCB概念;苹果概念;5G;芯片概念;消费电子概念;专精特新;传感器;机器视觉;粤港澳大湾区;人工智能;融资融券
600875.SH,23,600875,17,抽水蓄能;核电;光热发电;可控核聚变;风电;超超临界发电;光伏概念;高端装备;储能;新能源汽车;工业互联网;燃料电池;雅下水电概念;氢能源;人工智能;央企国企改革;DeepSeek概念;ChatGPT概念;国企改革;西部大开发;乡村振兴;沪股通;融资融券
301176.SZ,5,301176,33,PCB概念;汽车电子;MiniLED;锂电池概念;融资融券
688351.SH,5,688351,17,医疗器械概念;专精特新;智能医疗;沪股通;融资融券
688192.SH,3,688192,17,创新药;沪股通;融资融券
300835.SZ,7,300835,33,稀土永磁;消费电子概念;数据中心;专精特新;新能源汽车;光伏概念;深股通
300911.SZ,10,300911,33,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;人工智能;DeepSeek概念;AIGC概念;家用电器;深股通;融资融券
688062.SH,6,688062,17,重组蛋白;创新药;智能医疗;回购增持再贷款概念;沪股通;融资融券
688627.SH,10,688627,17,存储芯片;OLED;MicroLED概念;芯片概念;专精特新;机器人概念;粤港澳大湾区;东数西算(算力);沪股通;融资融券
600754.SH,6,600754,17,旅游概念;上海国企改革;国企改革;人工智能;沪股通;融资融券
688046.SH,5,688046,17,专精特新;DeepSeek概念;回购增持再贷款概念;沪股通;融资融券
300759.SZ,7,300759,33,CRO概念;创新药;智能医疗;人工智能;人民币贬值受益;融资融券;深股通
300204.SZ,7,300204,33,细胞免疫治疗;重组蛋白;创新药;辅助生殖;眼科医疗;深股通;融资融券
300765.SZ,7,300765,33,减肥药;创新药;生物疫苗;维生素;回购增持再贷款概念;融资融券;深股通
300671.SZ,18,300671,33,MCU芯片;汽车芯片;MiniLED;存储芯片;先进封装;WiFi 6;第三代半导体;芯片概念;无线耳机;5G;毫米波雷达;新型烟草(电子烟);智能家居;专精特新;海峡两岸;粤港澳大湾区;深股通;融资融券
600513.SH,8,600513,17,流感;创新药;禽流感;仿制药一致性评价;专精特新;国企改革;沪股通;股权转让(并购重组)
600258.SH,7,600258,17,旅游概念;国企改革;京津冀一体化;人工智能;阿里巴巴概念;沪股通;融资融券
002015.SZ,31,002015,33,虚拟电厂;华为数字能源;碳交易;抽水蓄能;生物质能发电;绿色电力;智能电网;风电;碳中和;换电概念;光伏概念;充电桩;储能;算力租赁;数据中心;水利;高压快充;东数西算(算力);蚂蚁集团概念;数字经济;区块链;华为概念;百度概念;锂电池概念;动力电池回收;英伟达概念;宁德时代概念;长三角一体化;新能源汽车;融资融券;深股通
603196.SH,4,603196,17,锂电池概念;虚拟数字人;三胎概念;股权转让(并购重组)
300462.SZ,11,300462,33,液冷服务器;ST板块;汽车热管理;移动支付;ETC;储能;人脸识别;车联网(车路协同);充电桩;独角兽概念;智慧城市
301133.SZ,12,301133,33,毫米波雷达;人形机器人;小米汽车;碳纤维;无人机;比亚迪概念;新能源汽车;特斯拉概念;长安汽车概念;华为汽车;百度概念;融资融券
300461.SZ,9,300461,33,长三角一体化;新型烟草(电子烟);无线充电;新型工业化;比亚迪概念;苹果概念;消费电子概念;无线耳机;汽车电子
688656.SH,2,688656,17,沪股通;融资融券
603127.SH,10,603127,17,CRO概念;细胞免疫治疗;创新药;基因测序;生物疫苗;2025年报预增;智能医疗;专精特新;融资融券;沪股通
300806.SZ,17,300806,33,光刻胶;富士康概念;苹果概念;PCB概念;柔性屏(折叠屏);消费电子概念;汽车电子;无线耳机;虚拟现实;华为概念;专精特新;新能源汽车;特斯拉概念;石墨烯;储能;氢能源;深股通
688222.SH,14,688222,17,智能医疗;CRO概念;腾讯概念;AI应用;人工智能;减肥药;重组蛋白;创新药;2025年报预增;人民币贬值受益;西部大开发;回购增持再贷款概念;沪股通;融资融券
688293.SH,6,688293,17,CRO概念;重组蛋白;2025年报预增;沪股通;股权转让(并购重组);融资融券
300113.SZ,30,300113,33,算力租赁;云游戏;云计算;多模态AI;东数西算(算力);数据确权;Web3.0;抖音概念(字节概念);AIGC概念;腾讯概念;虚拟数字人;AI智能体;百度概念;区块链;元宇宙;英伟达概念;数据中心;电子竞技;DeepSeek概念;NFT概念;手机游戏;人工智能;文化传媒概念;华为概念;虚拟现实;智能医疗;IP经济(谷子经济);AI应用;深股通;融资融券
600590.SH,29,600590,17,太赫兹;电力物联网;智能电网;6G概念;国产航母;卫星导航;数据中心;光伏概念;军工信息化;军工;军民融合;无人机;华为概念;碳纤维;低空经济;储能;机器人概念;虚拟现实;腾讯概念;AI智能体;燃料电池;区块链;氢能源;智能医疗;创投;一带一路;IP经济(谷子经济);沪股通;融资融券
