market_code,股票代码,所属概念数量,所属概念,code
33,000981.SZ,16,减速器;华为汽车;智能物流;高端装备;汽车拆解概念;新能源汽车;比亚迪概念;无人驾驶;西部大开发;物联网;汽车电子;阿里巴巴概念;芯片概念;先进封装;深股通;融资融券,000981
17,688601.SH,13,AI手机;汽车芯片;AI眼镜;创投;芯片概念;小米概念;消费电子概念;汽车电子;机器人概念;比亚迪概念;民爆概念;融资融券;沪股通,688601
33,300001.SZ,31,虚拟电厂;智能电网;高压快充;风电;核电;充电桩;储能;绿色电力;数据中心;光伏建筑一体化;工业互联网;高铁;动力电池回收;华为概念;新能源汽车;百度概念;小米概念;阿里巴巴概念;比亚迪概念;长安汽车概念;雄安新区;PPP概念;小米汽车;腾讯概念;机器人概念;抖音概念(字节概念);中俄贸易概念;人工智能;MCU芯片;深股通;融资融券,300001
33,301217.SZ,11,PET铜箔;PCB概念;固态电池;宁德时代概念;锂电池概念;5G;比亚迪概念;储能;国企改革;深股通;融资融券,301217
17,603950.SH,8,汽车电子;比亚迪概念;新能源汽车;飞行汽车(eVTOL);低空经济;2025年报预增;股权转让(并购重组);沪股通,603950
17,603618.SH,15,光纤概念;特高压;抽水蓄能;智能电网;风电;5G;光伏概念;储能;新能源汽车;PET铜箔;石墨烯;共同富裕示范区;锂电池概念;沪股通;融资融券,603618
33,300964.SZ,22,共封装光学(CPO);PCB概念;5G;6G概念;毫米波雷达;汽车电子;专精特新;虚拟现实;华为概念;卫星导航;特斯拉概念;商业航天;新能源汽车;无人机;机器人概念;军工;低空经济;工业互联网;充电桩;医疗器械概念;创投;融资融券,300964
33,000066.SZ,37,中国AI 50;AI PC;东数西算(算力);数据中心;液冷服务器;数据安全;信创;网络安全;芯片概念;华为鲲鹏;智能电网;百度概念;5G;国产操作系统;卫星导航;消费电子概念;量子科技;华为概念;区块链;车联网(车路协同);人工智能;汽车电子;DeepSeek概念;商业航天;数字经济;智慧城市;军工;粤港澳大湾区;海工装备;军民融合;锂电池概念;钠离子电池;央企国企改革;国企改革;深股通;中字头股票;融资融券,000066
33,300667.SZ,25,食品安全;量子科技;商业航天;军工;新型工业化;安防;物联网;低空经济;可控核聚变;专精特新;医美概念;海工装备;传感器;虚拟现实;光纤概念;智能电网;水利;工业互联网;数字经济;消费电子概念;第三代半导体;芯片概念;数据中心;光伏概念;钙钛矿电池,300667
33,300308.SZ,15,共封装光学(CPO);F5G概念;液冷服务器;芯片概念;中国AI 50;汽车电子;5G;同花顺新质50;数据中心;无人驾驶;2025年报预增;深股通;人民币贬值受益;创投;融资融券,300308
17,603916.SH,12,房屋检测;建筑节能;水利;AI应用;军工;水泥概念;雅下水电概念;核电;可控核聚变;风电;抽水蓄能;融资融券,603916
33,300243.SZ,7,PCB概念;固态电池;可降解塑料;磷化工;锂电池概念;风电;合成生物,300243
33,000935.SZ,9,职业教育;创投;CRO概念;西部大开发;减肥药;辅助生殖;水泥概念;深股通;融资融券,000935
17,603938.SH,10,光纤概念;芯片概念;存储芯片;有机硅概念;海峡两岸;光伏概念;京津冀一体化;硅能源;沪股通;融资融券,603938
17,688222.SH,14,CRO概念;减肥药;重组蛋白;创新药;智能医疗;AI应用;腾讯概念;人工智能;2025年报预增;人民币贬值受益;回购增持再贷款概念;西部大开发;沪股通;融资融券,688222
33,301093.SZ,6,人工智能;创投;医疗器械概念;创新药;深股通;融资融券,301093
17,688213.SH,21,汽车芯片;国家大基金持股;同花顺新质50;AI眼镜;汽车电子;机器视觉;无人驾驶;芯片概念;消费电子概念;传感器;小米概念;安防;华为概念;专精特新;比亚迪概念;物联网;机器人概念;2025年报预增;智能家居;沪股通;融资融券,688213
17,688508.SH,18,国家大基金持股;汽车芯片;中芯国际概念;第三代半导体;芯片概念;数据中心;专精特新;2025年报预增;无人机;人形机器人;人工智能;机器人概念;DeepSeek概念;高压快充;充电桩;智能电网;沪股通;融资融券,688508
33,300478.SZ,2,核电;股权转让(并购重组),300478
151,920125.BJ,8,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,920125
17,603045.SH,19,汽车电子;5G;数据中心;比亚迪概念;BC电池;新能源汽车;智能电网;HJT电池;TOPCON电池;智能家居;工业互联网;充电桩;高铁;储能;2025年报预增;金属回收;黄金概念;股权转让(并购重组);融资融券,603045
17,601126.SH,24,柔性直流输电;特高压;智能电网;数据中心;电力物联网;核电;抽水蓄能;东数西算(算力);军工;虚拟电厂;光伏概念;风电;储能;机器人概念;阿里巴巴概念;数字孪生;雅下水电概念;人工智能;DeepSeek概念;氢能源;绿色电力;京津冀一体化;融资融券;沪股通,601126
33,000949.SZ,3,国企改革;新疆振兴;深股通,000949
17,688143.SH,12,光纤概念;共封装光学(CPO);芯片概念;特高压;汽车热管理;商业航天;专精特新;海工装备;军工;DeepSeek概念;沪股通;融资融券,688143
33,002637.SZ,6,消毒剂;回购增持再贷款概念;污水处理;一带一路;食品安全;深股通,002637
33,003026.SZ,5,芯片概念;汽车电子;2025年报预增;传感器;硅能源,003026
33,301317.SZ,11,数据中心;空气能热泵;专精特新;新能源汽车;2025年报预增;人工智能;污水处理;中俄贸易概念;共同富裕示范区;深股通;融资融券,301317
17,600601.SH,11,PCB概念;5G;共封装光学(CPO);华为概念;2025年报预增;东数西算(算力);智慧城市;网络游戏;国企改革;融资融券;沪股通,600601
33,300310.SZ,22,5G;信创;物联网;智慧灯杆;车联网(车路协同);AIGC概念;华为概念;数据中心;AI智能体;工业互联网;低空经济;共封装光学(CPO);机器人概念;算力租赁;DeepSeek概念;粤港澳大湾区;充电桩;光伏概念;创投;储能;深股通;融资融券,300310
33,002545.SZ,8,化肥;一带一路;风电;2025年报预增;特高压;深股通;智能电网;融资融券,002545
