code,market_code,股票代码,所属概念,所属概念数量
600331,17,600331.SH,金属锌;金属铜;小金属概念;磷化工;化肥;西部大开发;信托概念;国企改革;融资融券;沪股通,10
688313,17,688313.SH,共封装光学(CPO);F5G概念;光纤概念;芯片概念;5G;数据中心;专精特新;2025年报预增;沪股通;融资融券,10
920751,151,920751.BJ,股权转让(并购重组);氢能源;专精特新;融资融券;燃料电池,5
605337,17,605337.SH,乳业;啤酒概念;共同富裕示范区;养老概念;沪股通,5
300251,33,300251.SZ,文化传媒概念;虚拟数字人;网络游戏;抖音概念(字节概念);AIGC概念;阿里巴巴概念;DeepSeek概念;IP经济(谷子经济);虚拟现实;英伟达概念;AI应用;深股通;融资融券;2025年报预增,14
688123,17,688123.SH,存储芯片;中芯国际概念;汽车芯片;芯片概念;无线耳机;消费电子概念;AI眼镜;汽车电子;智能穿戴;小米概念;智能座舱;新型烟草(电子烟);特斯拉概念;数据中心;比亚迪概念;专精特新;人民币贬值受益;华为概念;沪股通;融资融券,20
300970,33,300970.SZ,农业种植;乡村振兴;合成生物;融资融券,4
000796,33,000796.SZ,海南自贸区;免税店;旅游概念;冰雪产业;海峡两岸;露营经济;乡村振兴;体育产业;互联网金融;跨境支付(CIPS);国企改革;养老概念;回购增持再贷款概念;深股通,14
603966,17,603966.SH,换电概念;核电;长三角一体化;水利;一带一路;专精特新;新型工业化;机器人概念,8
603162,17,603162.SH,福建自贸区;海峡两岸;航运概念;统一大市场;人民币贬值受益;沪股通,6
300347,33,300347.SZ,CRO概念;创新药;生物疫苗;智能医疗;医疗器械概念;AIGC概念;深股通;2025年报预增;融资融券,9
603516,17,603516.SH,同花顺新质50;液冷服务器;MR(混合现实);华为概念;星闪概念;军工信息化;虚拟现实;人工智能;安防;芯片概念;智慧城市;2025年报预增;融资融券;沪股通,14
600409,17,600409.SH,有机硅概念;消毒剂;钠离子电池;绿色电力;国企改革;光伏概念;京津冀一体化;沪股通;融资融券;华为概念,10
920425,151,920425.BJ,2025年报预增;MiniLED;消费电子概念;机器人概念;苹果概念;融资融券;AI眼镜;西部大开发;专精特新;机器视觉,10
601226,17,601226.SH,光伏概念;超超临界发电;风电;核电;海工装备;氢能源;高端装备;储能;回购增持再贷款概念;一带一路;国企改革;央企国企改革;燃料电池;DeepSeek概念;机器人概念;沪股通;融资融券,17
688689,17,688689.SH,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;传感器;专精特新;比亚迪概念;新能源汽车;无人驾驶;融资融券,11
300502,33,300502.SZ,共封装光学(CPO);中国AI 50;5G;芯片概念;深股通;数据中心;人民币贬值受益;西部大开发;融资融券,9
603135,17,603135.SH,中俄贸易概念;高端装备;新型工业化;机器人概念;数字经济;沪股通;融资融券,7
002357,33,002357.SZ,网约车;充电桩;参股银行;旅游概念;低空经济;西部大开发;宁德时代概念;车联网(车路协同);天然气;卫星导航,10
605288,17,605288.SH,新能源汽车;光伏概念;一带一路;智能家居;创投;人民币贬值受益;智能医疗;医疗器械概念;沪股通,9
688539,17,688539.SH,商业航天;军工;无人机;海工装备;传感器;高铁;机器人概念;芯片概念;专精特新;工业互联网;沪股通;融资融券,12
688070,17,688070.SH,军民融合;无人机;时空大数据;低空经济;智慧城市;职业教育;专精特新;西部大开发;融资融券,9
920394,151,920394.BJ,风电;融资融券;高铁;低空经济;大飞机;比亚迪概念;特高压;无人机;国企改革;新能源汽车;专精特新,11
301257,33,301257.SZ,CRO概念;细胞免疫治疗;减肥药;智能医疗;创新药;AI智能体;肝炎概念;DeepSeek概念;融资融券,9
001368,33,001368.SZ,海峡两岸;福建自贸区;露营经济;足球概念;体育产业;冰雪产业;中俄贸易概念;三胎概念;一带一路;宠物经济;医疗器械概念;新型烟草(电子烟);人民币贬值受益;人工智能;3D打印;多模态AI,16
603306,17,603306.SH,共封装光学(CPO);光刻胶;芯片概念;特斯拉概念;比亚迪概念;新能源汽车;数据中心;机器人概念;沪股通;回购增持再贷款概念;海峡两岸;福建自贸区;融资融券,13
300113,33,300113.SZ,云游戏;Web3.0;算力租赁;虚拟数字人;抖音概念(字节概念);NFT概念;多模态AI;云计算;AIGC概念;数据确权;AI智能体;腾讯概念;文化传媒概念;百度概念;手机游戏;元宇宙;区块链;电子竞技;DeepSeek概念;东数西算(算力);智能医疗;IP经济(谷子经济);人工智能;虚拟现实;华为概念;数据中心;英伟达概念;深股通;融资融券;AI应用,30
301056,33,301056.SZ,人脸识别;物联网;新型城镇化;中俄贸易概念;一带一路;融资融券,6
603958,17,603958.SH,DeepSeek概念;海峡两岸;华为概念;机器人概念;消费电子概念;3D打印;股权转让(并购重组),7
688662,17,688662.SH,共封装光学(CPO);芯片概念;5G;储能;融资融券,5
300561,33,300561.SZ,语音技术;网络安全;信创;人工智能;百度概念;人脸识别;区块链;物联网;互联网金融;AI应用;粤港澳大湾区;ST板块;物业管理;股权转让(并购重组),14
002440,33,002440.SZ,染料;2025年报预增;深股通;融资融券;氟化工概念,5
688175,17,688175.SH,军工;6G概念;军工信息化;物联网;5G;网络安全;数据要素;人工智能;股权转让(并购重组);融资融券,10
300656,33,300656.SZ,汽车芯片;第三代半导体;芯片概念;电子身份证;传感器;机器视觉;无人机;华为概念;人工智能;海峡两岸;比亚迪概念;粤港澳大湾区;光伏概念;储能;特高压,15
688367,17,688367.SH,无人驾驶;专精特新;华为概念;工业互联网;DeepSeek概念;融资融券,6
688448,17,688448.SH,污水处理;融资融券,2
605389,17,605389.SH,减速器;高端装备;机器人概念;专精特新;光伏概念;海工装备;沪股通;股权转让(并购重组),8
300250,33,300250.SZ,Web3.0;云办公;华为鲲鹏;网络安全;数据安全;信创;智慧政务;AI智能体;鸿蒙概念;WiFi 6;数字乡村;6G概念;东数西算(算力);卫星导航;人工智能;数字经济;虚拟现实;F5G概念;华为概念;物联网;5G;工业互联网;智能家居;共同富裕示范区;AI应用,25
001226,33,001226.SZ,专精特新,1
688159,17,688159.SH,5G;星闪概念;东数西算(算力);阿里巴巴概念;算力租赁;云计算;数据中心;华为概念;信创;AI智能体;鸿蒙概念;智慧政务;人工智能;数据要素;物联网;车联网(车路协同);存储芯片;智慧城市;无人机;机器人概念;专精特新;低空经济;比亚迪概念;粤港澳大湾区;电力物联网;智能电网;水利;沪股通;融资融券,29
688003,17,688003.SH,第三代半导体;先进封装;光伏概念;苹果概念;英伟达概念;PCB概念;消费电子概念;芯片概念;高端装备;低空经济;专精特新;新能源汽车;DeepSeek概念;机器人概念;机器视觉;人工智能;车联网(车路协同);无人驾驶;智能物流;小米概念;新型工业化;人形机器人;百度概念;沪股通;融资融券,25
688428,17,688428.SH,创新药;沪股通;融资融券,3
300398,33,300398.SZ,光刻胶;中芯国际概念;存储芯片;OLED;先进封装;第三代半导体;芯片概念;电子纸;光纤概念;光伏概念;新能源汽车;深股通;融资融券,13
601089,17,601089.SH,创新药;仿制药一致性评价;辅助生殖;医疗器械概念;沪股通,5
002985,33,002985.SZ,成飞概念;大飞机;军民融合;商业航天;军工;卫星导航;低空经济;无人机;高铁;高端装备;京津冀一体化;芯片概念;2025三季报预增;2025年报预增;融资融券;深股通,16
301469,33,301469.SZ,烟草;医疗器械概念;食品安全;回购增持再贷款概念;参股银行;融资融券,6
688093,17,688093.SH,苹果概念;OLED;消费电子概念;新能源汽车;专精特新;华为概念;回购增持再贷款概念;沪股通;融资融券,9
