code,所属概念数量,股票代码,market_code,所属概念
601231,19,601231.SH,17,共封装光学(CPO);同花顺果指数;苹果概念;汽车电子;WiFi 6;消费电子概念;芯片概念;无线耳机;AI眼镜;5G;智能座舱;智能穿戴;新能源汽车;物联网;一带一路;沪股通;融资融券;医疗器械概念;元宇宙
301036,4,301036.SZ,33,光刻胶;绿色电力;染料;融资融券
000973,14,000973.SZ,33,固态电池;锂电池概念;宁德时代概念;比亚迪概念;航运概念;特高压;OLED;国企改革;粤港澳大湾区;AI眼镜;证金持股;融资融券;深股通;股权转让(并购重组)
002082,11,002082.SZ,33,阿尔茨海默概念;医疗器械概念;共同富裕示范区;肝炎概念;创新药;流感;仿制药一致性评价;医药电商;生物疫苗;一带一路;深股通
688651,18,688651.SH,17,商业航天;卫星导航;量子科技;低空经济;网络安全;专精特新;国产操作系统;数据安全;华为概念;空间计算;信创;数字货币;智慧城市;云计算;数据要素;人工智能;DeepSeek概念;融资融券
920368,8,920368.BJ,151,一带一路;融资融券;光伏概念;BC电池;第三代半导体;TOPCON电池;硅能源;HJT电池
920266,4,920266.BJ,151,西部大开发;医药电商;融资融券;农业种植
688202,10,688202.SH,17,CRO概念;减肥药;智能医疗;AI应用;创新药;人工智能;合成生物;回购增持再贷款概念;沪股通;融资融券
300843,19,300843.SZ,33,铜缆高速连接;富士康概念;液冷服务器;消费电子概念;新型烟草(电子烟);人形机器人;智能座舱;比亚迪概念;小米概念;数据中心;新能源汽车;无人机;飞行汽车(eVTOL);机器人概念;高压快充;储能;低空经济;充电桩;深股通
301331,7,301331.SZ,33,流感;医药电商;创新药;西部大开发;2025年报预增;回购增持再贷款概念;融资融券
301018,23,301018.SZ,33,液冷服务器;高压快充;数据中心;5G;可控核聚变;2025年报预增;储能;新能源汽车;华为概念;锂电池概念;腾讯概念;抖音概念(字节概念);成飞概念;阿里巴巴概念;空气能热泵;核电;军工;百度概念;抽水蓄能;DeepSeek概念;碳中和;深股通;融资融券
002259,4,002259.SZ,33,天然气;2025年报预增;西部大开发;摘帽
300044,25,300044.SZ,33,时空大数据;数据要素;人脸识别;抖音概念(字节概念);手机游戏;网络游戏;人工智能;智慧城市;车联网(车路协同);军民融合;安防;机器视觉;军工;低空经济;无人机;5G;养老概念;无人驾驶;数据中心;粤港澳大湾区;机器人概念;新型工业化;PPP概念;乡村振兴;ST板块
603381,11,603381.SH,17,光伏建筑一体化;光伏概念;储能;比亚迪概念;专精特新;机器人概念;人形机器人;液冷服务器;金属回收;沪股通;融资融券
600331,10,600331.SH,17,磷化工;化肥;金属锌;小金属概念;金属铜;西部大开发;国企改革;信托概念;融资融券;沪股通
001203,16,001203.SZ,33,固态电池;金属铅;金属锌;小金属概念;锂电池概念;金属回收;储能;回购增持再贷款概念;旅游概念;职业教育;绿色电力;西部大开发;参股银行;创投;乡村振兴;深股通
002240,10,002240.SZ,33,盐湖提锂;固态电池;小金属概念;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券
688367,6,688367.SH,17,无人驾驶;专精特新;华为概念;工业互联网;DeepSeek概念;融资融券
300338,10,300338.SZ,33,ST板块;虚拟电厂;职业教育;在线教育;储能;虚拟数字人;百度概念;元宇宙;ChatGPT概念;钠离子电池
001896,17,001896.SZ,33,抽水蓄能;光伏建筑一体化;绿色电力;超超临界发电;碳中和;风电;创投;国企改革;人工智能;充电桩;智能物流;储能;工业互联网;华为概念;煤炭概念;深股通;融资融券
300572,14,300572.SZ,33,军工;PM2.5;人工智能;机器人概念;换电概念;粤港澳大湾区;创投;一体化压铸;充电桩;新能源汽车;比亚迪概念;新疆振兴;深股通;股权转让(并购重组)
603016,2,603016.SH,17,特高压;国企改革
301322,6,301322.SZ,33,新能源汽车;芯片概念;人民币贬值受益;中芯国际概念;动力电池回收;融资融券
688529,20,688529.SH,17,新型工业化;长安汽车概念;比亚迪概念;新能源汽车;机器视觉;小米汽车;机器人概念;小米概念;高端装备;燃料电池;智能物流;华为概念;特斯拉概念;人形机器人;氢能源;固态电池;人工智能;锂电池概念;DeepSeek概念;融资融券
688293,6,688293.SH,17,CRO概念;重组蛋白;2025年报预增;沪股通;股权转让(并购重组);融资融券
920627,9,920627.BJ,151,人形机器人;人民币贬值受益;锂电池概念;融资融券;新型烟草(电子烟);储能;固态电池;两轮车;消费电子概念
603629,14,603629.SH,17,算力租赁;腾讯概念;液冷服务器;英伟达概念;东数西算(算力);华为概念;小米概念;消费电子概念;云计算;芯片概念;2025年报预增;OLED;军工;沪股通
301150,9,301150.SZ,33,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;专精特新;深股通;融资融券
688386,16,688386.SH,17,商业航天;可控核聚变;军工;低空经济;消费电子概念;小米汽车;智能穿戴;新能源汽车;专精特新;宁德时代概念;机器人概念;燃料电池;物联网;氢能源;沪股通;融资融券
301285,10,301285.SZ,33,芯片概念;光伏概念;新能源汽车;3D打印;消费电子概念;小米概念;智能穿戴;华为概念;深股通;融资融券
603578,3,603578.SH,17,共同富裕示范区;光伏概念;专精特新
300191,7,300191.SZ,33,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备
002001,9,002001.SZ,33,氟化工概念;回购增持再贷款概念;合成生物;维生素;青蒿素;人民币贬值受益;商业航天;深股通;融资融券
600352,5,600352.SH,17,染料;沪股通;融资融券;创投;人工智能
002709,15,002709.SZ,33,氟化工概念;钠离子电池;有机硅概念;固态电池;动力电池回收;锂电池概念;宁德时代概念;2025年报预增;比亚迪概念;PEEK材料;特斯拉概念;同花顺漂亮100;回购增持再贷款概念;深股通;融资融券
920284,7,920284.BJ,151,锂电池概念;人造肉;专精特新;宁德时代概念;融资融券;固态电池;新型工业化
301501,7,301501.SZ,33,注册制次新股;可降解塑料;一带一路;专精特新;深股通;新股与次新股;融资融券
920971,8,920971.BJ,151,存储芯片;先进封装;商业航天;芯片概念;专精特新;融资融券;光伏概念;锂电池概念
603916,11,603916.SH,17,房屋检测;AI应用;建筑节能;水利;雅下水电概念;水泥概念;核电;抽水蓄能;风电;可控核聚变;融资融券
002407,22,002407.SZ,33,氟化工概念;钠离子电池;PVDF概念;固态电池;动力电池回收;硅能源;锂电池概念;储能;比亚迪概念;特斯拉概念;新能源汽车;回购增持再贷款概念;创投;中芯国际概念;工业互联网;数字孪生;第三代半导体;存储芯片;芯片概念;独角兽概念;融资融券;深股通
301413,14,301413.SZ,33,人形机器人;传感器;汽车芯片;比亚迪概念;机器人概念;新能源汽车;无人驾驶;专精特新;华为概念;储能;粤港澳大湾区;创投;深股通;融资融券
600152,13,600152.SH,17,钠离子电池;固态电池;锂电池概念;换电概念;新型烟草(电子烟);两轮车;储能;共同富裕示范区;无人机;华为概念;消费电子概念;机器人概念;华为汽车
300217,22,300217.SZ,33,光热发电;光伏概念;储能;核电;大飞机;海工装备;军工;新能源汽车;华为汽车;比亚迪概念;汽车热管理;家用电器;机器人概念;专精特新;传感器;固态电池;小米概念;锂电池概念;5G;芯片概念;深股通;融资融券
688017,10,688017.SH,17,减速器;人形机器人;同花顺新质50;新型工业化;机器人概念;中国AI 50;专精特新;2025年报预增;沪股通;融资融券
300401,6,300401.SZ,33,专精特新;合成生物;维生素;仿制药一致性评价;融资融券;深股通
002937,17,002937.SZ,33,液冷服务器;5G;PEEK材料;汽车电子;消费电子概念;毫米波雷达;无人驾驶;新能源汽车;虚拟现实;特斯拉概念;工业互联网;宁德时代概念;智能家居;人民币贬值受益;一带一路;深股通;融资融券
600236,7,600236.SH,17,央企国企改革;国企改革;风电;西部大开发;绿色电力;沪股通;融资融券
603391,3,603391.SH,17,专精特新;工业互联网;融资融券
301000,9,301000.SZ,33,人形机器人;汽车热管理;机器人概念;新能源汽车;家用电器;燃料电池;储能;深股通;融资融券
002272,25,002272.SZ,33,液冷服务器;数据中心;机器人概念;高端装备;华为概念;传感器;储能;军工;工业互联网;低空经济;光热发电;核电;智能电网;特高压;风电;水利;数字经济;氢能源;抽水蓄能;碳中和;垃圾分类;超超临界发电;西部大开发;深股通;融资融券
300011,13,300011.SZ,33,高铁;储能;高压快充;低空经济;高端装备;汽车热管理;空气能热泵;机器人概念;一带一路;动力电池回收;语音技术;人工智能;国企改革
605060,7,605060.SH,17,风电;高端装备;农机;数据中心;液冷服务器;专精特新;沪股通
688353,9,688353.SH,17,有机硅概念;钠离子电池;固态电池;锂电池概念;宁德时代概念;比亚迪概念;专精特新;沪股通;融资融券
002441,13,002441.SZ,33,风电;智能电网;充电桩;核电;新能源汽车;机器人概念;宁德时代概念;职业教育;物联网;数字经济;数据中心;深股通;融资融券
301228,3,301228.SZ,33,食品安全;土壤修复;融资融券
000688,12,000688.SZ,33,金属铅;钛白粉概念;金属锌;金属铜;小金属概念;黄金概念;锂电池概念;2025年报预增;西部大开发;深股通;股权转让(并购重组);融资融券
600487,31,600487.SH,17,光纤概念;共封装光学(CPO);F5G概念;特高压;液冷服务器;柔性直流输电;芯片概念;智能电网;风电;5G;数据中心;新能源汽车;小米汽车;长三角一体化;量子科技;人形机器人;一带一路;海工装备;无人驾驶;机器人概念;6G概念;华为概念;太赫兹;创投;水利;军工;网络安全;沪股通;融资融券;智慧城市;DeepSeek概念
688143,10,688143.SH,17,光纤概念;共封装光学(CPO);军工;汽车热管理;芯片概念;海工装备;专精特新;DeepSeek概念;沪股通;融资融券
300814,16,300814.SZ,33,共封装光学(CPO);铜缆高速连接;PCB概念;华为数字能源;先进封装;5G;MiniLED;数据中心;汽车电子;毫米波雷达;华为概念;新能源汽车;华为汽车;一带一路;深股通;融资融券
000007,2,000007.SZ,33,物业管理;粤港澳大湾区
301111,8,301111.SZ,33,流感;幽门螺杆菌概念;医药电商;创新药;眼科医疗;三胎概念;养老概念;融资融券
300798,4,300798.SZ,33,染料;算力租赁;东数西算(算力);AI智能体
603687,13,603687.SH,17,数字水印;数字孪生;烟草;工业互联网;DeepSeek概念;人工智能;物联网;共同富裕示范区;AIGC概念;ChatGPT概念;光伏概念;锂电池概念;钙钛矿电池
600498,36,600498.SH,17,6G概念;华为昇腾;AI智能体;云计算;卫星导航;华为鲲鹏;数据安全;商业航天;智慧政务;网络安全;数据要素;东数西算(算力);国资云;智能医疗;WiFi 6;数字乡村;DeepSeek概念;人工智能;光纤概念;F5G概念;智慧城市;5G;数据中心;海工装备;创投;共封装光学(CPO);芯片概念;液冷服务器;特高压;MCU芯片;一带一路;汽车芯片;央企国企改革;国企改革;沪股通;融资融券
688223,10,688223.SH,17,BC电池;TOPCON电池;钙钛矿电池;光伏概念;储能;同花顺漂亮100;DeepSeek概念;人民币贬值受益;沪股通;融资融券
