所属概念数量,code,股票代码,所属概念,market_code
14,600826,600826.SH,体育产业;参股银行;宠物经济;上海国企改革;参股券商;证金持股;AI智能体;国企改革;创投;人工智能;机器人概念;人形机器人;沪股通;融资融券,17
5,688267,688267.SH,人民币贬值受益;专精特新;环氧丙烷;沪股通;融资融券,17
12,300534,300534.SZ,流感;医药电商;三胎概念;创新药;医疗器械概念;中俄贸易概念;食品安全;西部大开发;参股券商;国企改革;专精特新;股权转让(并购重组),33
5,300234,300234.SZ,氢能源;燃料电池;碳交易;碳中和;专精特新,33
13,300716,300716.SZ,HJT电池;TOPCON电池;智能音箱;钙钛矿电池;光伏概念;华为汽车;新能源汽车;长安汽车概念;可降解塑料;军民融合;碳中和;储能;ST板块,33
13,002612,002612.SZ,中韩自贸区;毛发医疗;三胎概念;IP经济(谷子经济);网红经济;医美概念;民营医院;C2M概念;医疗器械概念;虚拟数字人;牙科医疗;融资融券;深股通,33
4,000995,000995.SZ,白酒概念;农业种植;乡村振兴;西部大开发,33
12,300261,300261.SZ,合成生物;肝炎概念;NMN概念;工业大麻;医药电商;跨境电商;CRO概念;垃圾分类;固废处理;人民币贬值受益;深股通;融资融券,33
8,600748,600748.SH,物业管理;土地流转;养老概念;上海国企改革;国企改革;长三角一体化;沪股通;融资融券,17
6,688410,688410.SH,医疗器械概念;智能医疗;专精特新;西部大开发;沪股通;融资融券,17
5,002946,002946.SZ,乳业;西部大开发;绿色电力;融资融券;深股通,33
14,300951,300951.SZ,苹果概念;富士康概念;汽车电子;消费电子概念;智能穿戴;智能座舱;虚拟现实;专精特新;新能源汽车;新型烟草(电子烟);低空经济;锂电池概念;深股通;融资融券,33
5,920489,920489.BJ,融资融券;国企改革;可降解塑料;光刻胶;专精特新,151
4,002832,002832.SZ,体育产业;网红经济;融资融券;深股通,33
10,600396,600396.SH,超超临界发电;绿色电力;碳交易;风电;碳中和;海工装备;央企国企改革;氢能源;国企改革;沪股通,17
36,300212,300212.SZ,财税数字化;国资云;数据确权;华为鲲鹏;数据要素;AI智能体;智慧政务;数据安全;数字孪生;养老概念;华为数字能源;阿里巴巴概念;百度概念;独角兽概念;ST板块;雄安新区;信创;PPP概念;京津冀一体化;乡村振兴;网络安全;数字经济;DeepSeek概念;智慧城市;智能医疗;人工智能;国企改革;创投;央企国企改革;物联网;车联网(车路协同);一带一路;东数西算(算力);华为概念;数据中心(AIDC);无人驾驶,33
17,002153,002153.SZ,区块链;腾讯概念;AI应用;云计算;移动支付;AI智能体;抖音概念(字节概念);阿里巴巴概念;DeepSeek概念;ERP概念;人工智能;跨境支付(CIPS);京津冀一体化;旅游概念;证金持股;深股通;融资融券,33
9,603486,603486.SH,语音技术;家用电器;机器人概念;人工智能;智能家居;华为概念;数据中心(AIDC);融资融券;沪股通,17
8,920856,920856.BJ,参股银行;物联网;无人驾驶;融资融券;机器人概念;无人机;一带一路;专精特新,151
19,603533,603533.SH,短剧游戏;AI语料;知识产权保护;ChatGPT概念;AIGC概念;抖音概念(字节概念);AI应用;文化传媒概念;数据要素;AI智能体;鸿蒙概念;独角兽概念;IP经济(谷子经济);人工智能;华为概念;电子纸;沪股通;融资融券;AI视频,17
10,600815,600815.SH,福建自贸区;职业教育;海峡两岸;军工;高端装备;中俄贸易概念;地下管网;智能物流;国企改革;沪股通,17
