股票代码,market_code,code,所属概念数量,所属概念
603155.SH,17,603155,7,光刻胶;有机硅概念;芯片概念;锂电池概念;国企改革;沪股通;股权转让(并购重组)
000048.SZ,33,000048,11,养鸡;猪肉;文化传媒概念;乡村振兴;物业管理;IP经济(谷子经济);粤港澳大湾区;机器人概念;人形机器人;融资融券;深股通
600118.SH,17,600118,21,国产航母;卫星导航;大飞机;商业航天;军民融合;6G概念;中字头股票;军工;无人机;低空经济;高端装备;水利;央企国企改革;人工智能;一带一路;京津冀一体化;芯片概念;国企改革;智能医疗;沪股通;融资融券
003009.SZ,33,003009,12,军民融合;军工;商业航天;无人机;专精特新;西部大开发;央企国企改革;国企改革;可控核聚变;光伏概念;中字头股票;深股通
002989.SZ,33,002989,6,芯片概念;粤港澳大湾区;人工智能;新型城镇化;国企改革;深股通
603270.SH,17,603270,16,减速器;人形机器人;专精特新;机器人概念;比亚迪概念;新能源汽车;燃料电池;飞行汽车(eVTOL);低空经济;碳纤维;商业航天;氢能源;风电;芯片概念;沪股通;融资融券
002414.SZ,33,002414,26,军民融合;军工;商业航天;无人机;低空经济;高端装备;芯片概念;传感器;智能家居;华为概念;无人驾驶;安防;汽车芯片;汽车电子;机器视觉;机器人概念;毫米波雷达;华为昇腾;车联网(车路协同);智能电网;鸿蒙概念;先进封装;深股通;融资融券;2026中报预增;智能物流
605090.SH,17,605090,13,俄乌冲突概念;煤化工概念;天然气;新疆振兴;航运概念;氢能源;商业航天;粤港澳大湾区;智能物流;绿色电力;芯片概念;融资融券;沪股通
603556.SH,17,603556,11,电力物联网;智能电网;DeepSeek概念;物联网;充电桩;储能;光伏概念;一带一路;人民币贬值受益;沪股通;融资融券
001395.SZ,33,001395,5,碳纤维;高端装备;专精特新;2026中报预增;融资融券
603211.SH,17,603211,12,毫米波雷达;专精特新;卫星导航;比亚迪概念;人形机器人;新能源汽车;无人驾驶;特斯拉概念;机器人概念;长三角一体化;智能家居;沪股通
000547.SZ,33,000547,33,军工信息化;军民融合;卫星导航;商业航天;军工;无人机;低空经济;海工装备;网络安全;安防;华为鲲鹏;信创;数据安全;智慧政务;华为欧拉;人工智能;数字经济;多模态AI;福建自贸区;DeepSeek概念;元宇宙;海峡两岸;华为概念;乡村振兴;虚拟现实;央企国企改革;国企改革;5G;风电;MR(混合现实);芯片概念;深股通;融资融券
002402.SZ,33,002402,33,智能座舱;卫星导航;智能穿戴;小米概念;机器视觉;比亚迪概念;商业航天;军工;汽车电子;长安汽车概念;汽车热管理;物联网;机器人概念;语音技术;人形机器人;智能家居;5G;新型工业化;家用电器;人民币贬值受益;汽车芯片;芯片概念;粤港澳大湾区;人工智能;华为海思概念股;储能;AI智能体;DeepSeek概念;智能医疗;一带一路;第三代半导体;深股通;融资融券
603322.SH,17,603322,24,算力租赁;东数西算(算力);智慧灯杆;多模态AI;快手概念;数据中心(AIDC);数据要素;智慧城市;AI视频;物联网;AIGC概念;移动支付;华为概念;AI应用;5G;DeepSeek概念;人工智能;低空经济;充电桩;粤港澳大湾区;芯片概念;智能物流;一带一路;沪股通
002202.SZ,33,002202,25,商业航天;东数西算(算力);柔性直流输电;智能电网;特高压;海工装备;储能;独角兽概念;工业互联网;风电;人工智能;抽水蓄能;氢能源;创投;碳中和;绿色电力;碳交易;污水处理;西部大开发;新疆振兴;PPP概念;煤化工概念;同花顺出海50;深股通;融资融券
002346.SZ,33,002346,7,创投;DeepSeek概念;锂电池概念;中芯国际概念;参股银行;深股通;融资融券
003001.SZ,33,003001,10,土壤修复;水利;装配式建筑;地下管网;人工智能;雄安新区;一带一路;雅下水电概念;核电;可控核聚变
002829.SZ,33,002829,23,军工信息化;卫星导航;百度概念;低空经济;传感器;小米汽车;数字孪生;商业航天;无人机;安防;人形机器人;军民融合;人工智能;小米概念;军工;无人驾驶;机器人概念;专精特新;新能源汽车;智能物流;海工装备;光纤概念;深股通
603151.SH,17,603151,2,乡村振兴;股权转让(并购重组)
003020.SZ,33,003020,8,仿制药一致性评价;肝炎概念;创新药;医药电商;眼科医疗;医美概念;脑机接口;深股通
002548.SZ,33,002548,5,猪肉;生态农业;乡村振兴;机器人概念;融资融券
001208.SZ,33,001208,22,卫星导航;商业航天;军工;海工装备;核电;高铁;特高压;可控核聚变;水利;高端装备;充电桩;专精特新;工业互联网;机器人概念;风电;比亚迪概念;新能源汽车;光伏概念;人形机器人;新疆振兴;国企改革;深股通
300484.SZ,33,300484,17,新型工业化;人形机器人;数字孪生;飞行汽车(eVTOL);专精特新;低空经济;比亚迪概念;燃料电池;智能物流;传感器;新能源汽车;粤港澳大湾区;创投;锂电池概念;高压快充;MCU芯片;融资融券
002479.SZ,33,002479,11,生物质能发电;绿色电力;PPP概念;国企改革;固废处理;垃圾分类;污水处理;金属回收;黄金概念;金属铜;2026中报预增
000838.SZ,33,000838,6,租售同权;ST板块;固废处理;西部大开发;污水处理;股权转让(并购重组)
000892.SZ,33,000892,10,短剧游戏;IP经济(谷子经济);文化传媒概念;虚拟数字人;AIGC概念;AI应用;AI智能体;人工智能;西部大开发;深股通
002681.SZ,33,002681,26,减速器;人形机器人;机器人概念;中俄贸易概念;跨境电商;家用电器;人工智能;虚拟现实;智能家居;智能音箱;星闪概念;阿里巴巴概念;人民币贬值受益;血氧仪;华为概念;粤港澳大湾区;小米概念;传感器;智能穿戴;储能;消费电子概念;无线耳机;汽车电子;无线充电;深股通;融资融券
600800.SH,17,600800,8,丙烯酸;天津自贸区;环氧丙烷;氢能源;国企改革;芯片概念;融资融券;沪股通
600376.SH,17,600376,12,证金持股;租售同权;冰雪产业;物业管理;养老概念;体育产业;融资融券;京津冀一体化;国企改革;雄安新区;新型城镇化;沪股通
603131.SH,17,603131,13,卫星导航;商业航天;军工;高端装备;海工装备;工业母机;新型工业化;专精特新;机器人概念;新能源汽车;人民币贬值受益;长三角一体化;沪股通
002524.SZ,33,002524,11,装配式建筑;民营医院;地下管网;西部大开发;创投;新疆振兴;智能医疗;医美概念;眼科医疗;人工智能;天然气
603355.SH,17,603355,7,净水概念;家用电器;人民币贬值受益;机器人概念;新能源汽车;沪股通;融资融券
600293.SH,17,600293,4,硅能源;国企改革;参股银行;融资融券
600491.SH,22,600491,8,PPP概念;装配式建筑;房屋检测;光伏建筑一体化;新型城镇化;ST板块;水利;长三角一体化
002687.SZ,33,002687,1,创投
300455.SZ,33,300455,16,卫星导航;商业航天;军工;核电;高端装备;高铁;机器人概念;人工智能;智能物流;央企国企改革;芯片概念;MCU芯片;国企改革;存储芯片;融资融券;深股通
920367.BJ,151,920367,11,仿制药一致性评价;人工智能;机器人概念;AI应用;医药电商;流感;智能医疗;融资融券;维生素;华为鲲鹏;创新药
300952.SZ,33,300952,12,人形机器人;机器人概念;比亚迪概念;商业航天;军工;安防;人民币贬值受益;海工装备;体育产业;石墨烯;深股通;融资融券
