code,股票代码,所属概念,market_code,所属概念数量
301281,301281.SZ,维生素;仿制药一致性评价;数字经济;股权转让(并购重组);融资融券,33,5
000582,000582.SZ,自由贸易港;航运概念;统一大市场;冷链物流;国企改革;天然气;一带一路;回购增持再贷款概念;乡村振兴;西部大开发;机器人概念;安防;华为概念;星闪概念;DeepSeek概念;人工智能;区块链;深股通;融资融券,33,19
002810,002810.SZ,锂电池概念;专精特新;人民币贬值受益;融资融券;深股通,33,5
300812,300812.SZ,共封装光学(CPO);MicroLED概念;MiniLED;MR(混合现实);柔性屏(折叠屏);消费电子概念;先进封装;OLED;第三代半导体;芯片概念;专精特新;工业母机;华为概念;商业航天;医疗器械概念,33,15
600714,600714.SH,小金属概念;西部大开发,17,2
688020,688020.SH,PCB概念;先进封装;PET铜箔;5G;华为手机;消费电子概念;小米概念;华为概念;专精特新;稀土永磁;融资融券,17,11
920039,920039.BJ,军工;碳交易;碳中和;区块链;人工智能;数据要素;国企改革;新型城镇化;融资融券,151,9
600075,600075.SH,煤化工概念;水泥概念;生态农业;可降解塑料;新疆振兴;碳交易;国企改革;绿色电力;回购增持再贷款概念;西部大开发;一带一路;储能;沪股通;融资融券,17,14
300044,300044.SZ,时空大数据;数据要素;人脸识别;手机游戏;网络游戏;抖音概念(字节概念);智慧城市;人工智能;车联网(车路协同);安防;军民融合;机器视觉;军工;低空经济;无人机;5G;无人驾驶;养老概念;数据中心;新型工业化;机器人概念;粤港澳大湾区;PPP概念;乡村振兴;ST板块,33,25
301227,301227.SZ,黑龙江自贸区;装配式建筑;建筑节能;碳中和;智能家居;融资融券,33,6
301219,301219.SZ,金属钴;金属镍;金属铜;小金属概念;金属回收;动力电池回收;固态电池;锂电池概念;宁德时代概念;2025年报预增;专精特新;人民币贬值受益;一带一路;深股通;融资融券,33,15
002497,002497.SZ,固态电池;锂电池概念;宁德时代概念;民爆概念;特斯拉概念;2025三季报预增;比亚迪概念;雅下水电概念;西部大开发;2025年报预增;工业互联网;机器人概念;军工;深股通;军民融合;融资融券,33,16
000525,000525.SZ,草甘膦;农村电商;NMN概念;国企改革;合成生物;乡村振兴;深股通;摘帽;股权转让(并购重组),33,9
603799,603799.SH,金属钴;金属镍;金属铜;小金属概念;盐湖提锂;磷化工;金属回收;动力电池回收;钠离子电池;固态电池;锂电池概念;宁德时代概念;俄乌冲突概念;同花顺漂亮100;特斯拉概念;储能;比亚迪概念;回购增持再贷款概念;新能源汽车;飞行汽车(eVTOL);人形机器人;长三角一体化;沪股通;人民币贬值受益;融资融券,17,25
300988,300988.SZ,光伏概念;充电桩;专精特新;储能;新能源汽车;比亚迪概念;汽车热管理;新型工业化;风电;智能电网;小米汽车;锂电池概念;一带一路;汽车电子;小米概念;数据中心;融资融券,33,17
688353,688353.SH,有机硅概念;钠离子电池;固态电池;锂电池概念;宁德时代概念;比亚迪概念;专精特新;沪股通;融资融券,17,9
